claim	file	bytes	sha256	recorded_prefix	status	retrieval	pinned_version
R01	R01.html	451835	5f8745bf4695118933100b192c62963b7db692c36587136d37058dca8acfa73b	5f8745bf4695118933100b19	MATCH	ar5iv full-text HTML	arXiv v2 (2023-03-22)
R02	R02.html	428271	e126e392c57eb8b92d62bb78ec88104870af8ec1062ee69932b09e4591523433	e126e392c57eb8b92d62bb78	MATCH	ar5iv full-text HTML	arXiv v2 (2022-11-10)
R03	R03.html	278833	5f34a57b3837f75b223fd1a6ed449f7f45f25c181ff8321867192b10e2997659	5f34a57b3837f75b223fd1a6	MATCH	ar5iv full-text HTML	arXiv v7 (2024-03-29)
R04	R04.html	286153	a62a9292df89cb97b46be391821573d450ef4a9c92c10cfd178a1576aca9cea7	a62a9292df89cb97b46be391	MATCH	ar5iv full-text HTML	arXiv v6 (2026-04-25)
R05	R05.html	542955	2e34e55160d0bb7bf74d527fb3c0f05a77afa15abdc1385144cfba6742772d09	2e34e55160d0bb7bf74d527f	MATCH	ar5iv full-text HTML	arXiv v4 (2024-06-05)
R06	R06.html	664601	57503d77ba9e18685d7a0fd27ef8f3f6df244eaab7ce0d8caafa697e92b7c193	57503d77ba9e18685d7a0fd2	MATCH	ar5iv full-text HTML	arXiv v3 (2024-05-06)
R07	R07.html	502158	fd91425cfcc9574a0b107c5e7e92b74b33cf6a49ad8695649d418174ae417b34	fd91425cfcc9574a0b107c5e	MATCH	ar5iv full-text HTML	arXiv v3 (2023-03-22)
R08	R08.md	21397	a53d0b7dda0ccfbc0522db6f8aa73b1b9b64e9020e712f8a7007f5b101c1c5bd	a53d0b7dda0ccfbc0522db6f	MATCH	HF raw README.md at pinned commit	HF commit 6a426ef8adc0 (2026-07-10)
R09	R09.md	9543	238efcee95e8ef40514f20cab179fcf6cc8c22ec2a45634866fe8a9dd6be4fd6	238efcee95e8ef40514f20ca	MATCH	HF raw README.md at pinned commit	HF commit 12fd6884d258 (2024-10-09)
R10	R10.md	11978	3da1c99b75165a84818ea56fe697a48a7335af5af11a2c4731c9635c5f684574	3da1c99b75165a84818ea56f	MATCH	HF raw README.md at pinned commit	HF commit 8bab0a7773ed (2026-06-09)
R11	R11.html	187169	4afd4da2684ae666fcc84bee3a97fc5501c366ca16983845b58287af6b99ac1d	81ba9d092c30e5f574c2cd48	MISMATCH	curl live HTML	live fetch 2026-07-31 (no history available)
R12	R12.md	7529	4654865c4c8a3b7e02f149f985094b804bad8fc3c1908562f827224dc1913198	4654865c4c8a3b7e02f149f9	MATCH	raw.githubusercontent.com Markdown	GitHub raw main 2026-07-31
R13	R13.html	597914	92cf7d8eb55f5d5d900d15633919ff57f0deec9e5fcbf6d78ba108fd6c9784d1	(none)	NO-BASELINE	curl live HTML	live fetch 2026-07-31 (no baseline hash)
R14	R14.html	44181	a2c8c60d9276bc648db3da2cfa966df111d6ea2fe7c20a221ec5310427d25cde	a2c8c60d9276bc648db3da2c	MATCH	curl live HTML	live fetch 2026-07-31
R15	R15.md	21603	e9eeb7710ca0c4e50222cac390a9b4a611e03b5556746ab447f76f254a658132	e9eeb7710ca0c4e50222cac3	MATCH	HF raw README.md at pinned commit	HF commit ee1d45ad38ea (2026-07-10)
R16	R16.md	12239	f05904e45811cc591ca9b1d7b0f663322a24ae0a8d413d218913b8fa6a6b1af3	f05904e45811cc591ca9b1d7	MATCH	HF raw README.md at pinned commit	HF commit 58eb42279d25 (2025-02-12)
R17	R17.md	7261	ae9b71174c8d86db5f556970065e8c170ae1890f0bea304ad6c1f4d15b203328	ae9b71174c8d86db5f556970	MATCH	HF raw README.md at pinned commit	HF commit b2432b66594a (2024-07-18)
