benchmark_family,n_atlas_cells,margin_pp,median_baseline_accuracy,required_n_independent_binomial,discordance_p25,required_n_p25,discordance_median,required_n_median,discordance_p75,required_n_p75,paired_advantage_at_median
arc_challenge,17,1.0,0.6087,29451,0.071918,4447,0.078767,4870,0.099315,6141,6.05
arc_challenge,17,2.0,0.6087,7363,0.071918,1112,0.078767,1218,0.099315,1536,6.05
arc_challenge,17,3.0,0.6087,3273,0.071918,495,0.078767,542,0.099315,683,6.04
bbh,192,1.0,0.7,25967,0.024,1484,0.044,2721,0.06,3710,9.54
bbh,192,2.0,0.7,6492,0.024,371,0.044,681,0.06,928,9.53
bbh,192,3.0,0.7,2886,0.024,165,0.044,303,0.06,413,9.52
gpqa,24,1.0,0.3734,28931,0.035256,2180,0.048397,2993,0.066919,4138,9.67
gpqa,24,2.0,0.3734,7233,0.035256,545,0.048397,749,0.066919,1035,9.66
gpqa,24,3.0,0.3734,3215,0.035256,243,0.048397,333,0.066919,460,9.65
gsm8k,24,1.0,0.0955,10684,0.039992,2473,0.076573,4735,0.198446,12270,2.26
gsm8k,24,2.0,0.0955,2671,0.039992,619,0.076573,1184,0.198446,3068,2.26
gsm8k,24,3.0,0.0955,1188,0.039992,275,0.076573,527,0.198446,1364,2.25
hellaswag,23,1.0,0.8022,19618,0.030809,1905,0.044913,2777,0.09948,6151,7.06
hellaswag,23,2.0,0.8022,4905,0.030809,477,0.044913,695,0.09948,1538,7.06
hellaswag,23,3.0,0.8022,2180,0.030809,212,0.044913,309,0.09948,684,7.06
ifeval,8,1.0,0.8373,16842,0.047597,2943,0.051756,3200,0.071627,4429,5.26
ifeval,8,2.0,0.8373,4211,0.047597,736,0.051756,800,0.071627,1108,5.26
ifeval,8,3.0,0.8373,1872,0.047597,327,0.051756,356,0.071627,493,5.26
math,56,1.0,0.2153,20888,0.107426,6642,0.141377,8741,0.168831,10439,2.39
math,56,2.0,0.2153,5222,0.107426,1661,0.141377,2186,0.168831,2610,2.39
math,56,3.0,0.2153,2321,0.107426,738,0.141377,972,0.168831,1160,2.39
mmlu,1311,1.0,0.4923,30906,0.092593,5725,0.14,8656,0.259094,16019,3.57
mmlu,1311,2.0,0.4923,7727,0.092593,1432,0.14,2164,0.259094,4005,3.57
mmlu,1311,3.0,0.4923,3434,0.092593,637,0.14,962,0.259094,1780,3.57
mmlu_pro,5,1.0,0.5331,30778,0.047789,2955,0.053441,3305,0.059009,3649,9.31
mmlu_pro,5,2.0,0.5331,7695,0.047789,739,0.053441,827,0.059009,913,9.3
mmlu_pro,5,3.0,0.5331,3420,0.047789,329,0.053441,368,0.059009,406,9.29
musr,24,1.0,0.56,30468,0.015,928,0.033578,2076,0.044,2721,14.68
musr,24,2.0,0.56,7617,0.015,232,0.033578,519,0.044,681,14.68
musr,24,3.0,0.56,3386,0.015,104,0.033578,231,0.044,303,14.66
winogrande,23,1.0,0.7624,22397,0.066693,4124,0.091555,5661,0.221389,13688,3.96
winogrande,23,2.0,0.7624,5600,0.066693,1031,0.091555,1416,0.221389,3422,3.95
winogrande,23,3.0,0.7624,2489,0.066693,459,0.091555,629,0.221389,1521,3.96
ALL (pooled),1707,1.0,0.5147,30887,0.06427,3974,0.12,7420,0.224962,13909,4.16
ALL (pooled),1707,2.0,0.5147,7722,0.06427,994,0.12,1855,0.224962,3478,4.16
ALL (pooled),1707,3.0,0.5147,3432,0.06427,442,0.12,825,0.224962,1546,4.16
