artifact,slurm_job_id,state,wall_time,peak_rss_kb,passes,stream_rows_scanned,cached_bytes,sha256_chain_verified,artifact_sha256
llama32-3b-c4-s0.json,11303134_0,COMPLETED,14:37:05,7272264,2,729664541,ABSENT,True,3835ca8c3e2730b3be6d49e14ceca3205e067bc5012f8979788342c83f96fa02
llama32-3b-c4-s1.json,11303134_1,COMPLETED,14:37:05,7388288,2,729545022,ABSENT,True,f12a18be6ecd819b72849ec89b26fb3fe9fd11b7944d6bc5a4b18b44fe0c1417
llama32-3b-c4-s2.json,11303134_2,COMPLETED,14:50:43,7339208,2,729556424,ABSENT,True,50bf2d7a030fb9c23d6f615f531ec1026f52ecc83b2bca6e7dfc8e21f4319154
llama32-3b-c4-s3.json,11303134_3,COMPLETED,14:43:52,7281704,2,729636360,ABSENT,True,7f6d71cbb981239cade9dd06908569a7655f651eb93ee77d064554d1022020f4
llama32-3b-c4-s4.json,11303134_4,COMPLETED,14:53:04,7190744,2,729431119,ABSENT,True,ff0e8f5cc09367ccdd489d2ad7f79ddefd0056899da70d6616a6bb9f8668213e
qwen25-1p5b-c4-s0.json,11233678_0,COMPLETED,15:43:38,7236216,2,729664541,ABSENT,True,f0a1ed0afc39bd7d144f520a5f335149e8381435b1d2b3ca432c67706c38af49
qwen25-1p5b-c4-s1.json,11262389_1,COMPLETED,1-00:52:01,7058520,2,729545022,ABSENT,True,21fab385f8ea0dc7918ee0376416d18638a1103fb83bc5081f17626d49ae97f5
qwen25-1p5b-c4-s2.json,11262389_2,COMPLETED,1-00:52:01,6917340,2,729556424,ABSENT,True,f344549c409d2841896d27e43e6b90dd0824e849815c9f2fb97f0fa8ac5a26b0
qwen25-1p5b-c4-s3.json,11303133_3,COMPLETED,14:42:50,7301144,2,729636360,ABSENT,True,c5a8f4c02e4925895b141bccf2d63152f534650d210ad7f857fcf34064b98f05
qwen25-1p5b-c4-s4.json,11303133_4,COMPLETED,14:37:05,7164056,2,729431119,ABSENT,True,3b984e95d170f590a7f339395ebda639a36ec3a4a3fe505b069b707b251d50cf
