benchmark_family,n_atlas_cells,margin_pp,median_baseline_accuracy,required_n_independent_binomial,discordance_p25,required_n_p25,discordance_median,required_n_median,discordance_p75,required_n_p75,paired_advantage_at_median
arc_challenge,8,1.0,0.5813,30095,0.075771,4685,0.078339,4844,0.086901,5373,6.21
arc_challenge,8,2.0,0.5813,7524,0.075771,1172,0.078339,1211,0.086901,1344,6.21
arc_challenge,8,3.0,0.5813,3344,0.075771,521,0.078339,539,0.086901,597,6.2
bbh,192,1.0,0.7,25967,0.024,1484,0.044,2721,0.06,3710,9.54
bbh,192,2.0,0.7,6492,0.024,371,0.044,681,0.06,928,9.53
bbh,192,3.0,0.7,2886,0.024,165,0.044,303,0.06,413,9.52
gpqa,24,1.0,0.3734,28931,0.035256,2180,0.048397,2993,0.066919,4138,9.67
gpqa,24,2.0,0.3734,7233,0.035256,545,0.048397,749,0.066919,1035,9.66
gpqa,24,3.0,0.3734,3215,0.035256,243,0.048397,333,0.066919,460,9.65
gsm8k,11,1.0,0.0417,4942,0.006444,399,0.048522,3000,0.075815,4688,1.65
gsm8k,11,2.0,0.0417,1236,0.006444,100,0.048522,750,0.075815,1172,1.65
gsm8k,11,3.0,0.0417,550,0.006444,45,0.048522,334,0.075815,521,1.65
hellaswag,14,1.0,0.7975,19966,0.030709,1899,0.044463,2749,0.079049,4888,7.26
hellaswag,14,2.0,0.7975,4992,0.030709,475,0.044463,688,0.079049,1222,7.26
hellaswag,14,3.0,0.7975,2219,0.030709,211,0.044463,306,0.079049,544,7.25
ifeval,8,1.0,0.8373,16842,0.047597,2943,0.051756,3200,0.071627,4429,5.26
ifeval,8,2.0,0.8373,4211,0.047597,736,0.051756,800,0.071627,1108,5.26
ifeval,8,3.0,0.8373,1872,0.047597,327,0.051756,356,0.071627,493,5.26
math,56,1.0,0.2153,20888,0.107426,6642,0.141377,8741,0.168831,10439,2.39
math,56,2.0,0.2153,5222,0.107426,1661,0.141377,2186,0.168831,2610,2.39
math,56,3.0,0.2153,2321,0.107426,738,0.141377,972,0.168831,1160,2.39
mmlu,798,1.0,0.39,29417,0.097646,6037,0.13733,8491,0.216269,13371,3.46
mmlu,798,2.0,0.39,7355,0.097646,1510,0.13733,2123,0.216269,3343,3.46
mmlu,798,3.0,0.39,3269,0.097646,671,0.13733,944,0.216269,1486,3.46
mmlu_pro,5,1.0,0.5331,30778,0.047789,2955,0.053441,3305,0.059009,3649,9.31
mmlu_pro,5,2.0,0.5331,7695,0.047789,739,0.053441,827,0.059009,913,9.3
mmlu_pro,5,3.0,0.5331,3420,0.047789,329,0.053441,368,0.059009,406,9.29
musr,24,1.0,0.56,30468,0.015,928,0.033578,2076,0.044,2721,14.68
musr,24,2.0,0.56,7617,0.015,232,0.033578,519,0.044,681,14.68
musr,24,3.0,0.56,3386,0.015,104,0.033578,231,0.044,303,14.66
winogrande,15,1.0,0.7174,25067,0.060773,3758,0.121547,7515,0.221389,13688,3.34
winogrande,15,2.0,0.7174,6267,0.060773,940,0.121547,1879,0.221389,3422,3.34
winogrande,15,3.0,0.7174,2786,0.060773,418,0.121547,835,0.221389,1521,3.34
ALL (pooled),1155,1.0,0.4539,30651,0.056399,3487,0.1125,6956,0.18,11129,4.41
ALL (pooled),1155,2.0,0.4539,7663,0.056399,872,0.1125,1739,0.18,2783,4.41
ALL (pooled),1155,3.0,0.4539,3406,0.056399,388,0.1125,773,0.18,1237,4.41
