statistic,value,note
analysable_cells,1155,"not excluded, not probe"
zero_delta_cells,113,abs(net_accuracy_delta) < 1e-12
zero_delta_share,0.097835,share of analysable
churn_median,0.062176,"accuracy_state_churn, zero-delta cells"
churn_mean,0.086163,
churn_max,0.343434,
zero_delta_nonzero_churn_cells,96,delta 0 but churn > 0
churn_median_nonzero_only,0.091868,

rank,pair_index,source,task,n,base_model,quantized_model,method,baseline_accuracy,method_accuracy,net_accuracy_delta,accuracy_state_churn,harmful_flip_rate,beneficial_flip_rate,mcnemar_p
1,35,S1,harness_hendrycksTest_high_school_geography_5,198,project-baize/baize-v2-7b,TheBloke/Project-Baize-v2-7B-GPTQ,GPTQ,0.4292929292929293,0.4292929292929293,0.0,0.3434343434343434,0.1717171717171717,0.1717171717171717,1.0
2,33,S1,harness_hendrycksTest_college_physics_5,80,project-baize/baize-v2-13b,TheBloke/Project-Baize-v2-13B-GPTQ,GPTQ,0.2,0.2,0.0,0.3,0.15,0.15,1.0
3,35,S1,harness_hendrycksTest_sociology_5,201,project-baize/baize-v2-7b,TheBloke/Project-Baize-v2-7B-GPTQ,GPTQ,0.40298507462686567,0.40298507462686567,0.0,0.25870646766169153,0.12935323383084577,0.12935323383084577,1.0
4,42,S1,harness_hendrycksTest_business_ethics_5,100,EleutherAI/gpt-neox-20b,TFLai/gpt-neox-20b-4bit-alpaca,bnb-4bit(LoRA),0.33,0.33,0.0,0.24,0.12,0.12,1.0
5,44,S1,harness_hendrycksTest_college_mathematics_5,100,EleutherAI/gpt-neo-1.3B,TFLai/gpt-neo-1.3B-4bit-alpaca,bnb-4bit(LoRA),0.28,0.28,0.0,0.24,0.12,0.12,1.0
6,46,S1,harness_hendrycksTest_high_school_computer_science_5,100,togethercomputer/RedPajama-INCITE-Chat-3B-v1,DanielSc4/RedPajama-INCITE-Chat-3B-v1-FT-LoRA-8bit-test1,bnb-8bit(LoRA),0.26,0.26,0.0,0.24,0.12,0.12,1.0
7,17,S1,harness_hendrycksTest_high_school_mathematics_5,270,Fredithefish/Guanaco-3B-Uncensored-v2,TheBloke/Guanaco-3B-Uncensored-v2-GPTQ,GPTQ,0.26296296296296295,0.26296296296296295,0.0,0.22962962962962963,0.11481481481481481,0.11481481481481481,1.0
8,44,S1,harness_hendrycksTest_us_foreign_policy_5,98,EleutherAI/gpt-neo-1.3B,TFLai/gpt-neo-1.3B-4bit-alpaca,bnb-4bit(LoRA),0.29591836734693877,0.29591836734693877,0.0,0.22448979591836735,0.11224489795918367,0.11224489795918367,1.0
9,42,S1,harness_hendrycksTest_sociology_5,201,EleutherAI/gpt-neox-20b,TFLai/gpt-neox-20b-4bit-alpaca,bnb-4bit(LoRA),0.2885572139303483,0.2885572139303483,0.0,0.208955223880597,0.1044776119402985,0.1044776119402985,1.0
10,47,S1,harness_hendrycksTest_public_relations_5,106,togethercomputer/RedPajama-INCITE-Chat-3B-v1,DanielSc4/RedPajama-INCITE-Chat-3B-v1-RL-LoRA-8bit-test1,bnb-8bit(LoRA),0.330188679245283,0.330188679245283,0.0,0.20754716981132076,0.10377358490566038,0.10377358490566038,1.0
